GFA_ID,Name,SMILES,Gal-1 Kd operator,Gal-1 Kd value (μM),Gal-3 Kd operator,Gal-3 Kd value (μM),Source,Name in source,Source type,Citation,Mono/Disaccharide,Possible X-bond,Series,Molecular weight,Polar SA,HB acceptors,HB donors,Rotatable bonds
GFA_1,beta-GalOMe,OC[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@@H](O1)OC,=,6300,=,4400,Hassan 2021 (1),7b,Paper,10.1016/j.ejmech.2021.113664,Monosaccharide,No,Monosaccharide derivatives,194.186,99.38,6,4,2
GFA_1,beta-GalOMe,OC[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@@H](O1)OC,>,10000,=,4100,Mahanti 2020,beta-GalOMe,Paper,10.1021/acsmedchemlett.9b00396,Monosaccharide,No,Monosaccharide derivatives,194.186,99.38,6,4,2
GFA_1,beta-GalOMe,OC[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@@H](O1)OC,>,10000,=,4400,Oberg 2008 (2),17,Paper,10.1016/j.bmcl.2008.05.066,Monosaccharide,No,Monosaccharide derivatives,194.186,99.38,6,4,2
GFA_2,alpha-GalOMe,OC[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](O1)OC,>,10000,=,2700,Rajput 2014,14,Paper,10.1016/j.bmcl.2014.05.063,Monosaccharide,No,Monosaccharide derivatives,194.186,99.38,6,4,2
GFA_4,Lac,O[C@@H](O1)[C@H](O)[C@@H](O)[C@@H]([C@H]1CO)O[C@H](O2)[C@H](O)[C@@H](O)[C@@H](O)[C@H]2CO,=,91,=,231,Hassan 2021 (1),lactose,Paper,10.1016/j.ejmech.2021.113664,Disaccharide,No,Lactose derivatives,342.303,189.53,11,8,4
GFA_5,beta-LacOMe,CO[C@H](O1)[C@H](O)[C@@H](O)[C@@H]([C@H]1CO)O[C@H](O2)[C@H](O)[C@@H](O)[C@@H](O)[C@H]2CO,=,187,=,160,Cumpstey 2007,22,Paper,10.1002/cbic.200700040,Disaccharide,No,Lactose derivatives,356.33,178.53,11,7,5
GFA_5,beta-LacOMe,CO[C@H](O1)[C@H](O)[C@@H](O)[C@@H]([C@H]1CO)O[C@H](O2)[C@H](O)[C@@H](O)[C@@H](O)[C@H]2CO,=,420,=,160,Delaine 2008,21,Paper,10.1021/jm801077j,Disaccharide,No,Lactose derivatives,356.33,178.53,11,7,5
GFA_5,beta-LacOMe,CO[C@H](O1)[C@H](O)[C@@H](O)[C@@H]([C@H]1CO)O[C@H](O2)[C@H](O)[C@@H](O)[C@@H](O)[C@H]2CO,nd,nd,=,222,Salameh 2005,21,Paper,10.1016/j.bmcl.2005.05.084,Disaccharide,No,Lactose derivatives,356.33,178.53,11,7,5
GFA_6,beta-LacNAcOMe,CC(=O)N[C@@H]([C@@H](O1)OC)[C@@H](O)[C@@H]([C@H]1CO)O[C@H](O2)[C@H](O)[C@@H](O)[C@@H](O)[C@H]2CO,=,65,=,59,Cumpstey 2007,23,Paper,10.1002/cbic.200700040,Disaccharide,No,LacNAc derivatives,397.383,187.4,11,7,6
GFA_6,beta-LacNAcOMe,CC(=O)N[C@@H]([C@@H](O1)OC)[C@@H](O)[C@@H]([C@H]1CO)O[C@H](O2)[C@H](O)[C@@H](O)[C@@H](O)[C@H]2CO,=,150,=,59,Delaine 2008,20,Paper,10.1021/jm801077j,Disaccharide,No,LacNAc derivatives,397.383,187.4,11,7,6
