GFA_ID,Gal-3 Kd operator,Gal-3 Kd value (μM),dG experiment (kcal/mol),Glide SP,OPLS4/VSGB2.1,OPLS_2005/VSGB2.1,AMBER/UD1,AMBER/UD4,AMBER/VD114,AMBER/VAD,GFN-FF/ALPB,PM6-D3H4/COSMO,PM6-D3H4/COSMO2,PM6-D3H4X/COSMO,PM6-D3H4X/COSMO2,PM6-ORG/COSMO,PM6-ORG/COSMO2,PM7/COSMO,PM7/COSMO2,GFN1/GBSA,GFN1/ALPB,GFN2/GBSA,GFN2/ALPB,GFN2/ddCOSMO,DFTB3-D3H5/COSMO,DFTB3-D4/COSMO
GFA_1,=,4400,-3.234860956,-6.1,-26.08,-33.15,-10.81,-11.61,-6.30,-9.44,-26.74,-16.68,-12.39,-16.68,-12.39,-15.92,-13.43,-25.64,-23.12,-18.22,-17.51,-19.25,-17.64,-20.00,-30.61,-20.78
GFA_1,=,4100,-3.276960415,-6.1,-26.08,-33.15,-10.81,-11.61,-6.30,-9.44,-26.74,-16.68,-12.39,-16.68,-12.39,-15.92,-13.43,-25.64,-23.12,-18.22,-17.51,-19.25,-17.64,-20.00,-30.61,-20.78
GFA_1,=,4400,-3.234860956,-6.1,-26.08,-33.15,-10.81,-11.61,-6.30,-9.44,-26.74,-16.68,-12.39,-16.68,-12.39,-15.92,-13.43,-25.64,-23.12,-18.22,-17.51,-19.25,-17.64,-20.00,-30.61,-20.78
GFA_2,=,2700,-3.525997966,-5.769,-12.60,-18.36,-9.77,-0.81,4.27,2.87,-14.13,-8.26,-3.88,-8.26,-3.88,-9.22,-6.79,-17.29,-13.87,-9.44,-8.70,-9.87,-8.15,-9.48,-18.48,-12.57
GFA_4,=,231,-4.991713729,-5.351,-9.17,-16.67,-9.14,-7.19,3.34,-4.67,-15.57,-12.49,-3.72,-12.49,-3.72,-11.56,-6.97,-25.52,-19.19,-13.73,-13.20,-10.07,-15.01,-16.74,-30.57,-18.51
GFA_5,=,160,-5.210650319,-5.367,-15.56,-23.94,-7.09,-8.29,2.62,-2.90,-23.48,-13.49,-5.38,-13.49,-5.38,-12.07,-7.09,-24.51,-19.72,-11.68,-13.15,-17.60,-16.04,-15.45,-33.13,-20.34
GFA_5,=,160,-5.210650319,-5.367,-15.56,-23.94,-7.09,-8.29,2.62,-2.90,-23.48,-13.49,-5.38,-13.49,-5.38,-12.07,-7.09,-24.51,-19.72,-11.68,-13.15,-17.60,-16.04,-15.45,-33.13,-20.34
GFA_5,=,222,-5.015405374,-5.367,-15.56,-23.94,-7.09,-8.29,2.62,-2.90,-23.48,-13.49,-5.38,-13.49,-5.38,-12.07,-7.09,-24.51,-19.72,-11.68,-13.15,-17.60,-16.04,-15.45,-33.13,-20.34
GFA_6,=,59,-5.805402493,-5,-14.16,-25.15,-2.51,-12.80,-3.96,-8.05,-20.85,-6.06,-0.25,-6.06,-0.25,-6.27,-8.32,-21.77,-18.10,-9.47,-9.84,-11.17,-10.04,-10.33,-29.89,-15.86
GFA_6,=,59,-5.805402493,-5,-14.16,-25.15,-2.51,-12.80,-3.96,-8.05,-20.85,-6.06,-0.25,-6.06,-0.25,-6.27,-8.32,-21.77,-18.10,-9.47,-9.84,-11.17,-10.04,-10.33,-29.89,-15.86
GFA_6,=,67,-5.729597501,-5,-14.16,-25.15,-2.51,-12.80,-3.96,-8.05,-20.85,-6.06,-0.25,-6.06,-0.25,-6.27,-8.32,-21.77,-18.10,-9.47,-9.84,-11.17,-10.04,-10.33,-29.89,-15.86
GFA_7,=,50,-5.904075792,-5.431,-17.87,-37.29,-17.73,-12.11,-4.03,-12.19,-28.90,-25.77,-19.19,-25.77,-19.19,-19.07,-13.40,-32.54,-27.92,-22.97,-23.81,-27.19,-25.10,-26.77,-40.98,-27.70
GFA_7,=,49,-5.916119864,-5.431,-17.87,-37.29,-17.73,-12.11,-4.03,-12.19,-28.90,-25.77,-19.19,-25.77,-19.19,-19.07,-13.40,-32.54,-27.92,-22.97,-23.81,-27.19,-25.10,-26.77,-40.98,-27.70
GFA_7,=,49,-5.916119864,-5.431,-17.87,-37.29,-17.73,-12.11,-4.03,-12.19,-28.90,-25.77,-19.19,-25.77,-19.19,-19.07,-13.40,-32.54,-27.92,-22.97,-23.81,-27.19,-25.10,-26.77,-40.98,-27.70
GFA_7,=,43,-5.993990559,-5.431,-17.87,-37.29,-17.73,-12.11,-4.03,-12.19,-28.90,-25.77,-19.19,-25.77,-19.19,-19.07,-13.40,-32.54,-27.92,-22.97,-23.81,-27.19,-25.10,-26.77,-40.98,-27.70
GFA_8,=,0.014,-10.78110485,-6.548,-45.97,-65.12,-32.92,-32.54,-23.04,-23.18,-39.41,-31.85,-30.49,-31.85,-30.49,-24.46,-29.18,-53.56,-53.56,-31.33,-38.43,-35.03,-33.69,-35.60,-59.79,-43.18
GFA_8,=,0.001,-12.35440864,-6.548,-45.97,-65.12,-32.92,-32.54,-23.04,-23.18,-39.41,-31.85,-30.49,-31.85,-30.49,-24.46,-29.18,-53.56,-53.56,-31.33,-38.43,-35.03,-33.69,-35.60,-59.79,-43.18
GFA_8,=,0.0023,-11.85786047,-6.548,-45.97,-65.12,-32.92,-32.54,-23.04,-23.18,-39.41,-31.85,-30.49,-31.85,-30.49,-24.46,-29.18,-53.56,-53.56,-31.33,-38.43,-35.03,-33.69,-35.60,-59.79,-43.18
GFA_8,=,0.002,-11.94118113,-6.548,-45.97,-65.12,-32.92,-32.54,-23.04,-23.18,-39.41,-31.85,-30.49,-31.85,-30.49,-24.46,-29.18,-53.56,-53.56,-31.33,-38.43,-35.03,-33.69,-35.60,-59.79,-43.18
GFA_9,=,0.15,-9.367261899,-5.119,-44.95,-59.14,-12.07,-19.40,-11.29,-18.49,-30.90,-6.12,-11.22,-6.12,-11.22,-10.63,-19.15,-30.15,-35.27,-19.27,-24.17,-18.44,-19.67,-20.00,-36.26,-22.69
GFA_10,=,0.037,-10.2017192,-5.007,-44.75,-59.33,-13.48,-21.04,-13.34,-20.24,-27.74,-6.97,-11.94,-6.58,-10.91,-7.74,-16.91,-30.68,-34.64,-19.62,-24.81,-20.12,-20.60,-24.25,-39.22,-25.72
