GFA_ID,Gal-3 Kd operator,Gal-3 Kd value (μM),dG experiment (kcal/mol),Glide SP,OPLS4/VSGB2.1,OPLS_2005/VSGB2.1,AMBER/UD1,AMBER/UD4,AMBER/VD114,AMBER/VAD,GFN-FF/ALPB,PM6-D3H4/COSMO,PM6-D3H4/COSMO2,PM6-D3H4X/COSMO,PM6-D3H4X/COSMO2,PM6-ORG/COSMO,PM6-ORG/COSMO2,PM7/COSMO,PM7/COSMO2,GFN1/GBSA,GFN1/ALPB,GFN2/GBSA,GFN2/ALPB,GFN2/ddCOSMO,DFTB3-D3H5/COSMO,DFTB3-D4/COSMO
GFA_1,=,4400,-3.234860956,-6.1,-32.12,-39.19,-23.68,-18.19,-13.68,-16.12,-32.77,-24.34,-18.65,-24.34,-18.65,-25.02,-20.56,-34.59,-30.18,-24.52,-25.01,-27.09,-26.13,-26.03,-40.71,-28.77
GFA_1,=,4100,-3.276960415,-6.1,-32.12,-39.19,-23.68,-18.19,-13.68,-16.12,-32.77,-24.34,-18.65,-24.34,-18.65,-25.02,-20.56,-34.59,-30.18,-24.52,-25.01,-27.09,-26.13,-26.03,-40.71,-28.77
GFA_1,=,4400,-3.234860956,-6.1,-32.12,-39.19,-23.68,-18.19,-13.68,-16.12,-32.77,-24.34,-18.65,-24.34,-18.65,-25.02,-20.56,-34.59,-30.18,-24.52,-25.01,-27.09,-26.13,-26.03,-40.71,-28.77
GFA_2,=,2700,-3.525997966,-5.769,-31.02,-36.78,-26.91,-18.64,-14.15,-15.44,-30.47,-24.84,-21.43,-24.84,-21.43,-25.34,-24.21,-34.36,-30.30,-25.56,-26.89,-25.99,-24.28,-25.67,-35.93,-28.70
GFA_4,=,231,-4.991713729,-5.351,-29.55,-37.30,-29.88,-27.93,-17.82,-25.41,-36.31,-32.22,-24.00,-32.22,-24.00,-32.19,-27.61,-45.25,-38.92,-33.46,-32.93,-30.70,-34.74,-36.47,-50.30,-38.24
GFA_5,=,160,-5.210650319,-5.367,-36.16,-44.54,-26.92,-27.46,-18.72,-21.92,-43.20,-34.09,-25.98,-34.09,-25.98,-33.13,-28.16,-45.28,-40.31,-32.28,-33.75,-38.20,-36.64,-36.05,-53.84,-40.93
GFA_5,=,160,-5.210650319,-5.367,-36.16,-44.54,-26.92,-27.46,-18.72,-21.92,-43.20,-34.09,-25.98,-34.09,-25.98,-33.13,-28.16,-45.28,-40.31,-32.28,-33.75,-38.20,-36.64,-36.05,-53.84,-40.93
GFA_5,=,222,-5.015405374,-5.367,-36.16,-44.54,-26.92,-27.46,-18.72,-21.92,-43.20,-34.09,-25.98,-34.09,-25.98,-33.13,-28.16,-45.28,-40.31,-32.28,-33.75,-38.20,-36.64,-36.05,-53.84,-40.93
GFA_6,=,59,-5.805402493,-5,-35.11,-49.84,-27.49,-34.63,-25.79,-29.88,-41.09,-31.04,-25.24,-31.04,-25.24,-31.26,-28.02,-46.76,-43.09,-29.14,-32.91,-33.56,-33.14,-33.56,-50.71,-38.76
GFA_6,=,59,-5.805402493,-5,-35.11,-49.84,-27.49,-34.63,-25.79,-29.88,-41.09,-31.04,-25.24,-31.04,-25.24,-31.26,-28.02,-46.76,-43.09,-29.14,-32.91,-33.56,-33.14,-33.56,-50.71,-38.76
GFA_6,=,67,-5.729597501,-5,-35.11,-49.84,-27.49,-34.63,-25.79,-29.88,-41.09,-31.04,-25.24,-31.04,-25.24,-31.26,-28.02,-46.76,-43.09,-29.14,-32.91,-33.56,-33.14,-33.56,-50.71,-38.76
