GFA_ID,Gal-3 Kd operator,Gal-3 Kd value (μM),dG experiment (kcal/mol),Glide SP,OPLS4_VSGB21,OPLS2005_VSGB21,Amber_GBSA_Ein1,Amber_GBSA_Ein4,Amber_VD114,Amber_VAD,GFNFF_ALPB,PM6-D3H4_COMSO,PM6-D3H4X_COMSO,PM6-ORG_COMSO,PM7_COMSO,PM6-D3H4_COMSO2,PM6-D3H4X_COMSO2,PM6-ORG_COMSO2,PM7_COMSO2,GFN1_GBSA,GFN1_ALPB,GFN2_GBSA,GFN2_ALPB,GFN2_ddCOSMO,DFTB3-D3H5_COSMO,DFTB3-D4_COSMO
GFA_1,=,4400,-3.234860956,-6.1,-33.881,-42.058583,-23.6791,-18.1922,-13.6804,-16.1208,-32.77144892,-24.33722,-24.33722,-25.01867,-34.58512,-18.6533,-18.6533,-20.55771,-30.18481,-24.5152221,-25.0068631,-27.09170657,-26.13194889,-26.03175278,-40.70517745,-28.76908179
GFA_1,=,4100,-3.276960415,-6.1,-33.881,-42.058583,-23.6791,-18.1922,-13.6804,-16.1208,-32.77144892,-24.33722,-24.33722,-25.01867,-34.58512,-18.6533,-18.6533,-20.55771,-30.18481,-24.5152221,-25.0068631,-27.09170657,-26.13194889,-26.03175278,-40.70517745,-28.76908179
GFA_1,=,4400,-3.234860956,-6.1,-33.881,-42.058583,-23.6791,-18.1922,-13.6804,-16.1208,-32.77144892,-24.33722,-24.33722,-25.01867,-34.58512,-18.6533,-18.6533,-20.55771,-30.18481,-24.5152221,-25.0068631,-27.09170657,-26.13194889,-26.03175278,-40.70517745,-28.76908179
GFA_2,=,2700,-3.525997966,-5.769,-33.581,-40.536886,-26.9091,-18.6384,-14.151,-15.4416,-30.46798168,-24.84108,-24.84108,-25.34405,-34.35523,-21.42915,-21.42915,-24.20821,-30.30097,-25.56237867,-26.88855169,-25.99232257,-24.27716302,-25.66742524,-35.9308712,-28.69658443
GFA_4,=,231,-4.991713729,-5.351,-40.698,-47.09336,-29.8782,-27.9273,-17.8161,-25.41,-36.31442273,-32.21921,-32.21921,-32.19373,-45.25074,-24.00333,-24.00333,-27.60648,-38.91909,-33.45820479,-32.92794724,-30.70163367,-34.74134814,-36.46819364,-50.29664934,-38.24023671
GFA_5,=,160,-5.210650319,-5.367,-43.903,-52.025161,-26.9241,-27.4642,-18.7181,-21.919,-43.20123416,-34.08561,-34.08561,-33.13401,-45.2759,-25.9787,-25.9787,-28.15527,-40.31407,-32.27869696,-33.74830272,-38.19669176,-36.64026588,-36.04561783,-53.84315606,-40.93479251
GFA_5,=,160,-5.210650319,-5.367,-43.903,-52.025161,-26.9241,-27.4642,-18.7181,-21.919,-43.20123416,-34.08561,-34.08561,-33.13401,-45.2759,-25.9787,-25.9787,-28.15527,-40.31407,-32.27869696,-33.74830272,-38.19669176,-36.64026588,-36.04561783,-53.84315606,-40.93479251
GFA_5,=,222,-5.015405374,-5.367,-43.903,-52.025161,-26.9241,-27.4642,-18.7181,-21.919,-43.20123416,-34.08561,-34.08561,-33.13401,-45.2759,-25.9787,-25.9787,-28.15527,-40.31407,-32.27869696,-33.74830272,-38.19669176,-36.64026588,-36.04561783,-53.84315606,-40.93479251
GFA_6,=,59,-5.805402493,-5,-45.138,-56.372919,-27.4949,-34.6277,-25.7881,-29.8765,-41.09244263,-31.04419,-31.04419,-31.25834,-46.75545,-25.23528,-25.23528,-28.02376,-43.088,-29.13811734,-32.91006714,-33.55697856,-33.14420689,-33.55594551,-50.70931363,-38.75768134
GFA_6,=,59,-5.805402493,-5,-45.138,-56.372919,-27.4949,-34.6277,-25.7881,-29.8765,-41.09244263,-31.04419,-31.04419,-31.25834,-46.75545,-25.23528,-25.23528,-28.02376,-43.088,-29.13811734,-32.91006714,-33.55697856,-33.14420689,-33.55594551,-50.70931363,-38.75768134
GFA_6,=,67,-5.729597501,-5,-45.138,-56.372919,-27.4949,-34.6277,-25.7881,-29.8765,-41.09244263,-31.04419,-31.04419,-31.25834,-46.75545,-25.23528,-25.23528,-28.02376,-43.088,-29.13811734,-32.91006714,-33.55697856,-33.14420689,-33.55594551,-50.70931363,-38.75768134
GFA_7,=,50,-5.904075792,-5.431,-42.206,-53.028699,-28.5392,-29.4595,-21.5031,-32.5421,-39.70535497,-37.06897,-37.06897,-32.97484,-44.06418,-30.25007,-30.25007,-27.33805,-39.5783,-34.80543813,-36.14043641,-37.98285633,-36.90436157,-37.74857737,-53.61508855,-39.50797622
GFA_7,=,49,-5.916119864,-5.431,-42.206,-53.028699,-28.5392,-29.4595,-21.5031,-32.5421,-39.70535497,-37.06897,-37.06897,-32.97484,-44.06418,-30.25007,-30.25007,-27.33805,-39.5783,-34.80543813,-36.14043641,-37.98285633,-36.90436157,-37.74857737,-53.61508855,-39.50797622
GFA_7,=,49,-5.916119864,-5.431,-42.206,-53.028699,-28.5392,-29.4595,-21.5031,-32.5421,-39.70535497,-37.06897,-37.06897,-32.97484,-44.06418,-30.25007,-30.25007,-27.33805,-39.5783,-34.80543813,-36.14043641,-37.98285633,-36.90436157,-37.74857737,-53.61508855,-39.50797622
GFA_7,=,43,-5.993990559,-5.431,-42.206,-53.028699,-28.5392,-29.4595,-21.5031,-32.5421,-39.70535497,-37.06897,-37.06897,-32.97484,-44.06418,-30.25007,-30.25007,-27.33805,-39.5783,-34.80543813,-36.14043641,-37.98285633,-36.90436157,-37.74857737,-53.61508855,-39.50797622
GFA_8,=,0.014,-10.78110485,-6.548,-76.721,-93.947677,-49.8973,-49.9003,-40.7314,-44.4215,-55.73234482,-52.33164,-52.33164,-46.79688,-74.29036,-52.06895,-52.06895,-52.38299,-75.67413,-53.21838712,-59.56000436,-51.95971127,-51.47501061,-50.80225769,-77.72787516,-59.94324104
GFA_8,=,0.001,-12.35440864,-6.548,-76.721,-93.947677,-49.8973,-49.9003,-40.7314,-44.4215,-55.73234482,-52.33164,-52.33164,-46.79688,-74.29036,-52.06895,-52.06895,-52.38299,-75.67413,-53.21838712,-59.56000436,-51.95971127,-51.47501061,-50.80225769,-77.72787516,-59.94324104
GFA_8,=,0.0023,-11.85786047,-6.548,-76.721,-93.947677,-49.8973,-49.9003,-40.7314,-44.4215,-55.73234482,-52.33164,-52.33164,-46.79688,-74.29036,-52.06895,-52.06895,-52.38299,-75.67413,-53.21838712,-59.56000436,-51.95971127,-51.47501061,-50.80225769,-77.72787516,-59.94324104
GFA_8,=,0.002,-11.94118113,-6.548,-76.721,-93.947677,-49.8973,-49.9003,-40.7314,-44.4215,-55.73234482,-52.33164,-52.33164,-46.79688,-74.29036,-52.06895,-52.06895,-52.38299,-75.67413,-53.21838712,-59.56000436,-51.95971127,-51.47501061,-50.80225769,-77.72787516,-59.94324104
GFA_9,=,0.15,-9.367261899,-5.119,-71.697,-85.792151,-33.3979,-39.432,-31.5642,-38.3951,-50.7160799,-25.90163,-25.90163,-32.20722,-50.10024,-31.03006,-31.03006,-39.45074,-55.07564,-39.4605383,-44.21875949,-38.6266909,-39.8644317,-40.18875441,-56.34155805,-43.25689892
